,No.,Time,Source,Destination,Protocol,Length,Info
86,87,16.548469,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
87,88,16.583424,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0x21c1 A isatap
88,89,16.583426,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0x21c1 A isatap
89,90,16.689954,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0x21c1 A isatap
90,91,16.689955,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0x21c1 A isatap
91,92,16.89397,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
92,93,16.893974,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
93,94,17.031137,192.168.56.101,8.8.8.8,DNS,85,Standard query 0xc4c8 A teredo.ipv6.microsoft.com
94,95,17.070887,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<1e>
95,96,17.07089,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<1e>
96,97,17.299454,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
97,98,17.299458,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
98,99,17.332484,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
99,100,17.332488,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
100,101,17.37755,192.168.56.101,239.255.255.250,SSDP,171,M-SEARCH * HTTP/1.1 
101,102,17.377552,192.168.56.101,239.255.255.250,SSDP,171,M-SEARCH * HTTP/1.1 
102,103,17.408757,192.168.56.101,239.255.255.250,SSDP,139,M-SEARCH * HTTP/1.1 
103,104,17.408758,192.168.56.101,239.255.255.250,SSDP,139,M-SEARCH * HTTP/1.1 
104,105,17.43969,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
105,106,17.439692,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
106,107,17.630767,192.168.56.101,239.255.255.250,SSDP,139,M-SEARCH * HTTP/1.1 
107,108,17.630768,192.168.56.101,239.255.255.250,SSDP,139,M-SEARCH * HTTP/1.1 
108,109,17.643953,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
109,110,17.643957,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
