,No.,Time,Source,Destination,Protocol,Length,Info
203,204,26.204624,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<1d>
204,205,26.950934,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<1d>
205,206,26.950938,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<1d>
206,207,27.701601,192.168.56.101,192.168.56.255,NBNS,110,Registration NB <01><02>__MSBROWSE__<02><01>
207,208,27.701605,192.168.56.101,192.168.56.255,NBNS,110,Registration NB <01><02>__MSBROWSE__<02><01>
208,209,27.779128,192.168.56.101,8.8.8.8,DNS,76,Standard query 0x6e6e A dns.msftncsi.com
209,210,28.449623,192.168.56.101,192.168.56.255,NBNS,110,Registration NB <01><02>__MSBROWSE__<02><01>
210,211,28.449625,192.168.56.101,192.168.56.255,NBNS,110,Registration NB <01><02>__MSBROWSE__<02><01>
211,212,29.204478,192.168.56.101,192.168.56.255,NBNS,110,Registration NB <01><02>__MSBROWSE__<02><01>
212,213,29.204482,192.168.56.101,192.168.56.255,NBNS,110,Registration NB <01><02>__MSBROWSE__<02><01>
213,214,29.950498,192.168.56.101,192.168.56.255,NBNS,110,Registration NB <01><02>__MSBROWSE__<02><01>
214,215,29.950502,192.168.56.101,192.168.56.255,NBNS,110,Registration NB <01><02>__MSBROWSE__<02><01>
215,216,30.703101,192.168.56.101,192.168.56.255,BROWSER,217,Request Announcement NONE
216,217,30.703105,192.168.56.101,192.168.56.255,BROWSER,217,Request Announcement NONE
217,218,30.703176,192.168.56.101,192.168.56.255,BROWSER,217,Request Announcement NONE
218,219,30.703177,192.168.56.101,192.168.56.255,BROWSER,217,Request Announcement NONE
219,220,30.704024,192.168.56.101,192.168.56.255,BROWSER,247,"Domain/Workgroup Announcement WORKGROUP, NT Workstation, Domain Enum"
220,221,30.704026,192.168.56.101,192.168.56.255,BROWSER,247,"Domain/Workgroup Announcement WORKGROUP, NT Workstation, Domain Enum"
221,222,31.77935,192.168.56.101,8.8.8.8,DNS,76,Standard query 0x6e6e A dns.msftncsi.com
222,223,33.116483,192.168.56.101,192.168.56.255,BROWSER,243,"Local Master Announcement NONE, Workstation, Server, NT Workstation, Potential Browser, Master Browser"
223,224,33.116486,192.168.56.101,192.168.56.255,BROWSER,243,"Local Master Announcement NONE, Workstation, Server, NT Workstation, Potential Browser, Master Browser"
224,225,35.782428,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.1? Tell 192.168.56.101
225,226,35.782432,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.1? Tell 192.168.56.101
226,227,35.782441,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,192.168.56.1 is at 0a:00:27:00:00:00
227,228,43.329356,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
228,229,43.32936,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
229,230,44.371925,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0x6cfb A wpad
230,231,44.371926,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0x6cfb A wpad
231,232,44.469503,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0x6cfb A wpad
232,233,44.469505,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0x6cfb A wpad
233,234,44.673688,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
234,235,44.673692,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
235,236,45.418707,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
236,237,45.418711,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
237,238,46.168801,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
238,239,46.168805,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
239,240,46.328102,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
240,241,46.328106,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
241,242,46.929225,192.168.56.101,8.8.8.8,DNS,79,Standard query 0x09c0 A clients2.google.com
242,243,47.92023,192.168.56.101,8.8.8.8,DNS,79,Standard query 0x09c0 A clients2.google.com
243,244,48.920022,192.168.56.101,8.8.8.8,DNS,79,Standard query 0x09c0 A clients2.google.com
244,245,49.32634,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
245,246,49.326344,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
246,247,50.918959,192.168.56.101,8.8.8.8,DNS,79,Standard query 0x09c0 A clients2.google.com
247,248,54.921229,192.168.56.101,8.8.8.8,DNS,79,Standard query 0x09c0 A clients2.google.com
248,249,59.057544,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0xea6d A wpad
249,250,59.057545,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0xea6d A wpad
250,251,59.154425,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0xea6d A wpad
251,252,59.154426,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0xea6d A wpad
252,253,59.356907,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
253,254,59.356911,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
254,255,60.107303,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
255,256,60.107307,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
256,257,60.860655,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
257,258,60.86066,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
258,259,61.63541,192.168.56.101,8.8.8.8,DNS,79,Standard query 0x69e6 A clients2.google.com
